country_or_area,year,demand,production,exports,imports,geothermal,hydro,solar,tide,wind
China,2014,5219096,5649583.4,18158,6750,0,1064337,15189,0,156078
China,2013,5016127,5431637.4,18669,7438,0,920291,5564,0,141197
China,2012,4609729,4987553,17653,6874,0,872107,0,0,95978
China,2011,4319132,4713019,19307,6562,0,698945,0,0,70331
United States,2010,4153664,4378422,19107,45083,17577,286333,3934,0,95148
United States,2008,4153344,4368260,24198,57019,16873,281995,2091,0,55696
United States,2007,4188972,4349840,20143,51396,16798,275545,1673,0,34603
United States,2011,4142125,4349571,15038,52301,17892,344679,6153,0,120854
United States,2014,4149377,4339210,13298,66511,18710,281527,24603,0,183892
United States,2013,4128465,4306371,11353,70355,18422,290113,15872,0,169713
United States,2006,4083837,4300831,24271,42691,16581,317689,1287,0,26676
United States,2005,4080649,4294368,19803,44527,16778,297926,1120,0,17881
United States,2012,4099686,4290660,11995,59257,18135,298287,10145,0,141922
China,2010,3881719,4207160.4,19059,5545,0,722172,0,0,44622
United States,2009,3985365,4188214,18138,52191,17046,298410,2514,0,74226
United States,2004,3982236,4174856,22898,34210,15487,297894,965,0,14291
United States,2003,3889900,4081764,23972,30390,14870,305724,848,0,11300
United States,2000,3818903,4052667,14678,48592,14621,279986,709,0,5650
United States,2002,3881519,4051120,13561,36373,14939,291755,830,0,10459
United States,1999,3679960,3897518,14221,43215,15717,301793,689,0,4802
United States,2001,3723850,3865307,16474,38501,14246,214728,785,0,6806
United States,1998,3602338,3830489,12730,39513,15369,322080,890,0,3018
China,2009,3421094,3714650,17386,6006,0,615640,0,0,0
United States,1997,3487911,3697728,8974,43032,14907,358685,897,0,3254
United States,1996,3473465,3677022,7279,45288,15746,376702,906,0,3410
United States,1995,3384560,3582114,9146,46760,14941,337856,828,0,3196
United States,1994,3288120,3473435,7592,52230,17479,284373,828,0,3483
United States,1993,3215846,3411280,10655,39082,17774,303060,901,0,3053
China,2008,3187380,3408753.3,16644,3842,0,585187,0,0,0
United States,1992,3103012,3291109,8855,37204,17168,274883,749,0,2917
China,2007,3017115,3281552.9,14566,4251,0,485264,0,0,0
United States,1991,3082657,3275840,8540,30812,16267,309155,782,0,3051
United States,1990,3009239,3218621,20526,22506,16012,288960,666,0,3066
China,2006,2628186,2865726,12271,5389,0,435786,0,0,0
China,2005,2294896,2500259.9,11194,5011,0,397017,0,0,0
China,2004,2000014,2203310.2,9476,3400,0,353544,0,0,0
China,2003,1729740,1910575.3,10339,2980,0,283681,0,0,0
USSR (former),1990,1615801,1764612,36292,947,28,233000,0,0,0
USSR (former),1991,1594164,1712900,19406,70,30,235000,0,0,0
China,2002,1496004,1653999.8,9704,2300,0,287974,0,0,0
China,2001,1359915,1471657,10191,1796,0,277432,0,0,0
China,2000,1253597,1355600,9878,1546,0,222414,0,0,0
India,2014,1283905,1308873,0,4998,0,129353,5020,0,27057
China,1999,1129255,1239300,9150,370,0,203810,0,0,0
India,2013,1117490,1193480,0,5598,0,141637,3433,0,33583
China,1998,1065243,1166200,7170,20,0,208000,0,0,0
Japan,2010,1094547,1147899,0,0,2647,90682,3800,0,3962
Japan,2007,1076782,1135718,0,0,3043,84234,2015,0,2624
China,1997,1031174,1134471,7204,89,0,195983,0,0,0
Japan,2006,1048639,1104589,0,0,3081,97340,1794,0,2210
Japan,2005,1042262,1099790,0,0,3226,86350,1493,0,1754
Japan,2008,1030275,1082549,0,0,2750,83504,2251,0,2946
Japan,2011,1033661,1082230,0,0,2676,91709,5160,0,4559
China,1996,994266,1081310,3712,124,0,187966,0,0,0
Japan,2004,1024532,1077431,0,0,3374,103147,1189,0,1310
Japan,2009,1025778,1075305,0,0,2886,83832,2758,0,3613
Russian Federation,2012,982820,1070734,19143,2661,477,167319,0,0,5
Japan,2013,1019318,1065623,0,0,2596,84923,14279,0,4286
Russian Federation,2014,983691,1064207,14671,6623,455,177141,160,0,96
Japan,2012,1012110,1064065,0,0,2609,83645,6963,0,4722
Russian Federation,2013,978734,1059092,18382,4706,444,182654,0,0,5
Japan,2000,1003407,1058548,0,0,3348,96817,347,0,109
Japan,2002,1005107,1058420,0,0,3374,91801,669,0,415
Russian Federation,2011,961241,1054765,24111,1558,522,167608,0,0,5
Japan,2003,996219,1047942,0,0,3484,104137,903,0,833
Japan,2014,998941,1040676,0,0,2577,86942,24506,0,5038
Russian Federation,2008,952620,1040379,20738,3105,465,166711,0,0,5
Japan,2001,985256,1040013,0,0,3432,93872,475,0,252
Russian Federation,2010,949353,1038030,19091,1644,505,168397,0,0,4
Japan,1999,983611,1037277,0,0,3451,95577,219,0,38
India,2012,983178,1035264,0,5152,0,113855,0,0,28365
Japan,1998,964410,1020247,0,0,3531,102587,140,0,7
Russian Federation,2007,925553,1015333,18468,5670,485,178982,0,0,7
Japan,1997,958234,1015022,0,0,3756,100414,96,0,1
Russian Federation,1992,922416,1008450,43952,27710,29,171843,0,0,0
China,1995,922816,1007726,6025,639,0,190577,0,0,0
Russian Federation,2006,905402,995794,20927,5115,463,175282,0,0,5
Russian Federation,2009,914959,991980,17923,3066,464,176118,0,0,4
Japan,1996,935569,990148,0,0,3673,89433,63,0,2
India,2011,924209,973006,0,8441,0,103741,0,0,23353
Japan,1995,915602,969382,0,0,3173,91216,46,0,1
Russian Federation,1993,869283,956587,43413,24681,28,174284,0,0,0
India,2010,907185,954539,584,5610,0,114486,0,0,18735
Russian Federation,2005,872447,953086,22520,10139,410,174604,0,0,7
Japan,1994,892720,944507,0,0,2064,75659,33,0,1
Russian Federation,2004,851644,931865,19800,12179,403,177783,0,0,7
China,1994,857362,928083,3893,1847,0,168113,0,0,0
Russian Federation,2003,831726,916286,21619,8240,324,157720,0,0,9
India,2009,854523,899389,519,5359,0,106909,0,0,18188
Russian Federation,2002,806887,891285,18097,5154,156,164190,0,0,6
Russian Federation,2001,805579,891284,25659,9798,91,175850,0,0,3
Japan,1993,837894,888153,0,0,1777,105470,25,0,1
Russian Federation,2000,794510,877766,22850,8795,58,165375,0,0,2
Japan,1992,831644,877307,0,0,1787,89616,20,0,0
Russian Federation,1994,792254,875914,44147,23651,31,176011,0,0,0
Japan,1991,825200,871725,0,0,1773,105595,1,0,0
Russian Federation,1995,780463,860027,37982,18377,30,176412,0,0,0
Russian Federation,1996,765462,847183,31846,12356,28,154345,0,0,0
Russian Federation,1999,765341,846226,22521,8364,28,161371,0,0,2
India,2008,798126,842531,327,5899,0,114337,0,0,13334
Japan,1990,799596,842044,0,0,1741,95835,1,0,0
China,1993,778715,839453,117,4506,0,151800,0,0,0
Russian Federation,1997,752315,834132,26840,7151,29,157542,0,0,0
Russian Federation,1998,742949,827158,26275,8261,30,159466,0,0,0
India,2007,772511,813102,290,5230,0,120589,0,0,11413
China,1992,700060,754440,0,4980,0,132470,0,0,0
India,2006,711618,752454,216,2957,0,113720,0,0,9547
India,2005,651343,697470,209,1763,0,101730,0,0,5991
China,1991,634820,677550,260,3110,0,125090,0,0,0
India,2004,626091,665986,40,1735,0,84723,0,0,4295
Canada,2013,589217,660795,62578,10694,0,391861,1499,15,17963
Canada,2014,591137,656225,58421,12808,0,382574,1756,16,22538
